Taxon_ID,AB-Mix1,AB-Mix2,AB-Mix3,AB-Mix4
Taxon14273,0,0,0,0
Taxon13068,0,0,16,0
Taxon635,0,0,0,0
Taxon5349,0,26,44,0
Taxon3731,0,0,0,0
Taxon1850,27,0,0,0
Taxon2233,144,0,0,0
Taxon9908,29,0,15,43
Taxon4127,0,0,0,0
Taxon487,0,0,0,0
Taxon6673,0,0,14,0
Taxon567,0,0,0,0
Taxon697,0,0,0,0
Taxon11765,0,0,0,35
Taxon2912,0,0,0,0
Taxon4991,0,107,0,0
Taxon2715,0,51,0,0
Taxon199,0,0,0,0
Taxon15418,0,0,0,0
Taxon216,0,0,0,0
Taxon168,0,12,35,39
Taxon1603,38,39,57,0
Taxon4118,0,53,0,0
Taxon13534,38,48,34,14
Taxon39,0,0,0,0
Taxon137,0,0,0,0
Taxon628,0,0,0,0
Taxon4612,27,37,79,0
Taxon424,0,0,0,0
Taxon6219,0,0,0,0
Taxon18516,64,0,0,0
Taxon8394,0,0,0,19
Taxon604,0,0,0,0
Taxon2474,0,0,0,0
Taxon5761,76,55,0,32
Taxon5774,19,125,0,0
Taxon1909,0,0,0,0
Taxon2725,0,0,0,38
Taxon3001,0,0,0,0
Taxon3041,0,0,0,0
Taxon140,0,0,0,0
Taxon3066,43,22,0,0
Taxon307,0,0,0,0
Taxon7348,36,0,0,0
Taxon5542,0,0,0,0
Taxon2565,0,0,0,0
Taxon8215,0,0,0,0
Taxon2283,71,0,26,0
Taxon142,0,0,0,0
Taxon2110,63,17,0,0
Taxon401,0,0,0,0
Taxon301,59,33,0,29
Taxon1928,0,0,0,0
Taxon978,0,0,0,0
Taxon1635,43,0,0,0
Taxon5648,0,0,0,0
Taxon14400,0,71,0,0
Taxon265,0,0,47,0
Taxon2490,0,0,0,0
Taxon1551,0,0,0,0
Taxon148,0,0,0,0
Taxon2619,0,0,0,0
Taxon53,0,0,0,0
Taxon1828,0,0,74,17
Taxon344,0,0,0,0
Taxon355,45,0,13,0
Taxon2148,0,32,59,0
Taxon112,40,35,0,35
Taxon940,0,0,0,0
Taxon194,0,0,0,0
Taxon563,0,0,0,0
Taxon1861,0,0,0,0
Taxon7749,36,20,34,7
Taxon1951,0,0,0,0
Taxon2357,0,0,0,0
Taxon498,0,0,0,0
Taxon1432,0,0,0,0
Taxon1272,20,52,0,0
Taxon1330,0,0,0,0
Taxon99,0,0,0,0
Taxon4695,0,0,0,0
Taxon19960,80,0,0,10
Taxon210,0,0,0,9
Taxon942,0,0,0,0
Taxon7681,0,0,0,0
Taxon993,0,0,0,0
Taxon9597,0,0,0,0
Taxon9891,0,0,79,0
Taxon3700,0,0,0,0
Taxon702,0,0,0,0
Taxon1206,0,0,0,0
Taxon2142,30,0,0,0
Taxon3836,0,0,0,0
Taxon1033,0,0,0,0
Taxon842,65,0,31,0
Taxon276,0,0,0,0
Taxon954,0,0,0,0
Taxon8,9,17,0,0
Taxon4649,0,0,0,0
Taxon709,0,0,0,0
Taxon17665,0,12,0,37
Taxon4720,0,0,0,0
Taxon3750,0,0,0,0
Taxon3925,0,0,0,0
Taxon7498,32,42,0,0
Taxon110,0,0,0,0
Taxon2293,0,0,0,0
Taxon1380,0,0,0,0
Taxon8498,0,0,0,0
Taxon1640,0,58,0,36
Taxon8151,0,0,0,0
Taxon537,0,0,0,0
Taxon444,0,0,0,0
Taxon2079,0,0,0,0
Taxon3153,44,32,0,0
Taxon14604,0,13,38,0
Taxon517,0,0,0,0
Taxon18499,0,0,0,0
Taxon4645,0,0,0,0
Taxon2592,0,0,0,0
Taxon618,0,0,0,0
Taxon15149,0,0,0,0
Taxon414,0,0,0,0
Taxon652,0,0,0,0
Taxon4507,0,0,0,0
Taxon463,0,54,0,0
Taxon178,0,46,0,44
Taxon303,0,0,0,0
Taxon1167,14,0,25,0
Taxon1426,0,0,0,0
Taxon3919,18,0,0,0
Taxon2770,0,0,0,0
Taxon6851,0,0,0,0
Taxon808,0,0,0,0
Taxon473,39,0,47,0
Taxon1261,0,38,0,0
Taxon96,0,0,0,0
Taxon12948,0,0,0,0
Taxon11298,0,29,11,0
Taxon6047,0,0,0,0
Taxon9167,0,0,0,0
Taxon372,39,0,26,0
Taxon1395,15,12,0,0
Taxon1837,0,2,0,0
Taxon3056,0,0,0,0
Taxon1031,0,0,0,0
Taxon1095,0,0,0,0
Taxon3222,0,0,0,0
Taxon3120,0,0,0,0
Taxon1127,0,0,0,0
Taxon11763,28,0,0,12
Taxon179,0,0,0,0
Taxon14962,0,0,0,0
Taxon8616,0,40,0,0
Taxon1559,0,0,0,0
Taxon1748,0,0,0,7
Taxon1186,69,0,0,0
Taxon376,0,0,0,0
Taxon1666,0,0,0,0
Taxon2432,0,0,0,0
Taxon149,0,0,0,0
Taxon247,0,0,40,26
Taxon2848,0,0,0,0
Taxon2020,0,0,0,14
Taxon7840,0,0,0,0
Taxon5275,0,0,0,0
Taxon4854,0,0,0,0
Taxon4532,0,0,0,0
Taxon2925,0,0,0,0
Taxon12268,0,13,8,14
Taxon5205,0,0,0,0
Taxon2838,0,0,0,0
Taxon3832,0,0,0,0
Taxon2211,32,0,25,0
Taxon166,0,57,0,0
Taxon413,0,0,0,0
Taxon415,0,0,0,0
Taxon5444,12,0,0,44
Taxon1957,0,0,0,0
Taxon1006,0,0,0,0
