Taxon_ID,AB-Mix1
Taxon1748,0
Taxon1186,69
Taxon376,0
Taxon1666,0
Taxon2432,0
Taxon149,0
Taxon247,0
Taxon2848,0
Taxon2020,0
Taxon7840,0
Taxon5275,0
Taxon4854,0
Taxon4532,0
Taxon2925,0
Taxon12268,0
Taxon5205,0
Taxon2838,0
Taxon3832,0
Taxon2211,32
Taxon166,0
Taxon413,0
Taxon415,0
Taxon5444,12
Taxon1957,0
Taxon1006,0
Taxon13745,0
Taxon686,0
Taxon3867,0
Taxon603,0
Taxon11764,0
Taxon6828,0
Taxon4800,0
Taxon12953,0
Taxon967,0
Taxon1030,0
Taxon1457,0
Taxon3213,0
Taxon456,0
Taxon545,0
Taxon132,51
Taxon7500,0
Taxon364,0
Taxon4955,0
Taxon430,0
Taxon3647,0
Taxon4958,0
Taxon2021,0
Taxon2042,0
Taxon2771,0
Taxon1329,0
Taxon1681,26
Taxon2054,0
Taxon16978,0
Taxon3551,0
Taxon949,0
Taxon408,0
Taxon2689,0
Taxon2145,0
Taxon371,0
Taxon5022,0
Taxon4104,0
Taxon1641,0
Taxon6266,0
Taxon440,0
Taxon491,0
Taxon7996,0
Taxon177,0
Taxon3005,0
Taxon4724,0
Taxon198,0
Taxon2587,0
Taxon52,0
Taxon8960,0
Taxon3028,0
Taxon643,0
Taxon799,0
Taxon17096,40
Taxon1599,14
Taxon13039,0
Taxon8800,0
Taxon7275,0
Taxon9683,0
Taxon15752,9
Taxon17532,0
Taxon1042,0
Taxon9962,0
Taxon13271,0
Taxon1694,0
Taxon1783,0
Taxon4289,0
Taxon1845,0
Taxon3404,7
Taxon17525,0
Taxon57,0
Taxon357,0
Taxon542,0
Taxon1423,0
Taxon559,0
Taxon685,0
Taxon1039,0
Taxon5771,0
Taxon1333,0
Taxon5550,8
Taxon5102,0
Taxon10627,0
Taxon2071,0
Taxon6504,0
Taxon2646,0
Taxon248,0
Taxon349,0
Taxon2772,0
Taxon7853,0
Taxon6863,0
Taxon12253,0
Taxon4973,0
Taxon13947,0
Taxon2429,0
Taxon8859,0
Taxon2330,0
Taxon2523,0
Taxon2345,0
Taxon4962,0
Taxon7795,0
Taxon3860,0
Taxon15145,0
Taxon6401,0
Taxon8172,0
Taxon4325,0
Taxon1170,0
Taxon1792,0
Taxon6736,0
Taxon14724,0
Taxon1538,20
Taxon11855,0
Taxon7926,0
Taxon1074,0
Taxon2423,0
Taxon7797,0
Taxon1295,0
Taxon883,0
Taxon2047,0
Taxon11566,0
Taxon219,0
Taxon5791,0
Taxon274,0
Taxon50,0
Taxon7127,0
Taxon1460,0
Taxon913,0
Taxon6200,0
Taxon3812,0
Taxon675,0
Taxon3145,0
Taxon511,0
Taxon2343,0
Taxon17102,0
Taxon19354,22
Taxon8550,0
Taxon4039,0
Taxon13147,0
Taxon188,0
Taxon1210,0
Taxon13772,0
Taxon1531,0
Taxon8156,0
Taxon581,0
Taxon2544,0
Taxon19011,0
Taxon571,0
Taxon9011,0
Taxon1527,0
Taxon1732,0
Taxon6846,0
Taxon6002,0
Taxon11294,0
Taxon6293,0
Taxon197,0
Taxon397,0
Taxon896,18
Taxon3995,18
Taxon17671,8
Taxon4086,0
Taxon7893,0
Taxon956,0
Taxon12416,0
Taxon16755,0
Taxon12439,0
Taxon3820,17
Taxon2396,0
Taxon11386,0
Taxon13575,0
Taxon321,0
Taxon2572,0
Taxon10483,0
Taxon2310,0
Taxon9229,0
Taxon1076,0
Taxon13052,0
Taxon910,0
Taxon4319,0
Taxon1987,0
Taxon566,0
Taxon1438,0
Taxon790,0
Taxon17726,0
Taxon6036,0
Taxon8005,0
Taxon10050,0
Taxon238,0
Taxon2516,0
Taxon10714,0
Taxon49,0
Taxon13036,0
Taxon3846,0
Taxon1665,0
Taxon504,0
Taxon4151,0
Taxon5777,0
Taxon8050,0
Taxon1172,0
Taxon2826,0
Taxon2679,0
Taxon856,0
Taxon6006,0
Taxon4517,0
Taxon1287,0
Taxon460,0
Taxon2917,0
Taxon121,0
Taxon157,0
Taxon4279,0
Taxon5267,0
Taxon527,0
Taxon1723,0
Taxon1142,0
Taxon963,0
Taxon10250,0
Taxon2817,0
Taxon11651,0
Taxon12012,0
Taxon20000,0
Taxon1854,0
Taxon16822,0
Taxon18852,0
Taxon5842,9
Taxon13712,0
Taxon281,0
Taxon6901,0
Taxon4038,0
Taxon2616,0
Taxon950,0
Taxon2238,0
Taxon5668,0
Taxon308,0
Taxon4348,0
Taxon2155,0
Taxon4125,0
Taxon10272,0
Taxon20372,0
Taxon7006,0
Taxon10296,0
Taxon16586,0
Taxon7644,0
Taxon6316,0
Taxon15310,0
Taxon3520,0
Taxon13178,0
Taxon11947,0
Taxon886,0
Taxon9422,0
Taxon3210,0
Taxon10929,0
Taxon909,0
Taxon4326,0
Taxon2418,0
Taxon3118,0
Taxon9257,0
Taxon16579,0
Taxon14169,0
Taxon10267,0
Taxon2069,0
Taxon9822,0
Taxon16228,0
Taxon187,0
Taxon15278,0
Taxon2093,0
Taxon6076,0
Taxon5153,0
Taxon680,0
Taxon2604,0
Taxon7252,0
Taxon10998,0
Taxon6162,0
Taxon1009,0
Taxon2694,0
Taxon15912,0
Taxon10108,0
Taxon12366,0
Taxon4894,0
Taxon10589,0
Taxon17030,0
Taxon651,0
Taxon3460,0
Taxon1193,0
